,Au,Ag,Cu,PbZn,Fe,Mn,U,WMoSn,NiCoPGECr,LiBeTaNb,REE,Al,HgSbAs,BaF,P
A45,0.479,-0.025,-0.249,0.097,0.196,0.235,0.733,0.015,0.158,-0.037,0.127,-0.084,0.411,0.186,0.257
A46,0.132,0.312,0.357,0.7,1.087,0.449,1.103,0.23,0.116,0.301,0.187,0.036,0.405,0.704,0.412
A47,-0.163,0.449,0.258,0.122,-0.353,0.128,-0.689,0.375,-0.181,-0.337,-0.077,0.004,0.244,0.057,-0.036
A48,0.075,-0.259,0.166,0.526,1.378,0.439,0.068,-0.12,0.403,0.254,0.476,0.804,0.025,0.404,0.454
A49,-0.557,-0.814,-0.536,-0.852,-1.154,-0.603,-2.409,-0.503,-0.459,-0.925,-0.483,-0.161,-0.697,-1.148,-0.129
A50,-0.164,-0.128,-0.137,-0.576,-1.073,-0.771,0.095,-0.194,-0.266,-0.337,-0.439,-0.604,-0.444,-0.716,-0.731
A51,-0.581,-0.547,-0.079,-0.091,0.359,-0.255,-1.021,-0.457,-0.432,-0.192,-0.076,-0.272,-0.461,-0.114,-0.027
A52,0.538,0.925,0.663,0.3,-0.129,0.516,0.473,0.477,0.191,-0.152,-0.415,0.09,0.833,0.301,-0.002
A53,0.506,0.51,0.295,0.81,0.818,0.551,0.55,0.689,0.562,1.068,0.796,0.577,0.375,0.626,0.46
A54,0.474,0.951,0.573,0.677,0.492,0.382,0.735,0.354,0.11,0.297,0.286,0.345,0.453,0.62,0.473
A55,0.427,0.26,0.2,0.459,0.816,0.259,0.764,0.046,0.018,0.391,-0.117,0.13,-0.043,0.483,-0.126
A56,-0.288,-0.686,-0.096,-0.45,0.164,-0.23,-1.923,-0.475,0.286,-0.178,-0.573,-0.012,-0.418,-0.705,-0.36
A57,-0.28,-0.974,-0.392,-0.023,0.819,-0.037,-1.385,-0.742,-0.096,-0.07,0.308,0.33,-0.64,0.03,0.234
A58,-0.078,-0.789,-0.52,-0.244,0.229,-0.282,-0.853,-0.172,-0.373,-0.139,0.24,0.155,-0.61,-0.044,0.112
A59,-0.126,-0.328,0.059,-0.038,-0.052,-0.314,0.403,-0.069,-0.143,-0.087,0.013,-0.461,-0.145,-0.327,-0.323
A60,0.543,0.629,0.446,0.127,-0.092,0.574,0.664,0.654,0.599,0.404,0.455,0.437,0.918,0.252,0.106
A61,0.098,0.041,-0.04,-0.154,-0.84,-0.439,-0.036,0.077,0.043,-0.26,-0.377,-0.83,-0.017,-0.461,-0.508
A62,0.282,-0.402,-0.348,-0.755,-0.789,-0.271,-0.019,-0.263,0.211,-0.332,0.057,-0.282,-0.206,-0.347,-0.25
A63,-0.238,-0.731,-0.507,-0.455,-0.197,-0.396,0.009,-0.689,-0.295,-0.588,-0.021,-0.17,-0.52,-0.234,-0.085
